id,label
Teardrop Crystal,Entity
elemental areas,Entity
barrier,Entity
Ancient ruins,Entity
old Mondstadt,Entity
Decarabian,Entity
people and Dvalin,Entity
Knights,Entity
Hilichurl attack,Entity
Teyvat,Entity
damaged lyre,Entity
lyre,Entity
Venti's Gnosis,Entity
Find the Geo Archon,Entity
Fatui Harbingers,Entity
Tsaritsa,Entity
Cryo Archon,Entity
Geo Archon,Entity
Rite of Descension,Entity
Liyue,Entity
Of the Land Amidst Monoliths,Entity
"Chapter I, Act I",Entity
"Farewell, Archaic Lord",Entity
Adventure Rank 23,Entity
Ningguang,Entity
Rex Lapis,Entity
Millelith,Entity
suspects,Entity
Childe,Entity
Harbingers,Entity
Northland Bank,Entity
adepti,Entity
Moon Carver,Entity
"Cloud Retainer, Mountain Shaper, and Demon Conqueror",Entity
Demon Conqueror,Entity
Xiao,Entity
Almond Tofu,Entity
Verr Goldet,Entity
Wangshu Inn,Entity
Satisfying Salad,Entity
Ruin Hunter,Entity
ghost,Entity
Mountain Shaper,Entity
Mt. Hulao,Entity
karst flowers,Entity
Cloud Retainer,Entity
Mt. Aocang,Entity
"Matsutake Meat Rolls, Jewelry Soup, and Mora Meat",Entity
Liyue Qixing,Entity
anyone,Entity
they came to visit The Seven,Entity
Paimon's statement,Entity
Baizhu,Entity
Everlasting Incense,Entity
incense and coconut milk,Entity
Ekaterina,Entity
Exuvia at the Golden House,Entity
Zhongli,Entity
Third-Round Knockout,Entity
Iron Tongue Tian,Entity
Ganyu,Entity
Dihua Marsh,Entity
series of events,Entity
Qixing,Entity
Rite of Parting,Entity
Keqing,Entity
put up missing posters,Entity
Inazuma,Entity
sealed off,Entity
Baal,Entity
Vision Hunt Decree,Entity
Bough Keeper: Dainsleif,Entity
World,Entity
Chapter I: Act IV - Prelude,Entity
Complete A New Star Approaches,Entity
"Mondstadt, Mondstadt",Entity
The Fond Farewell,Entity
Involuntary Sacrifice,Entity
Abyssal Traces,Entity
"8006038, 10011147",Entity
"Charles, Dainsleif, Katheryne (Mondstadt), Lawrence, Paimon, Traveler, Wagner",Entity
World Quest,Entity
Archon Quest Chapter I: Act IV - We Will Be Reunited,Entity
Start the quest by talking to,Entity
in the City of Mondstadt,Entity
1.3,Entity
We Will Be Reunited,Entity
IV,Entity
A New Star Approaches,Entity
"Autumn Winds, Scarlet Leaves",Entity
28,Entity
Lupus Minor Chapter: Act I - The Meaning of Lupical,Entity
Dainsleif,Entity
Sibling,Entity
Twilight Sword,Entity
protect Khaenri'ah,Entity
curse of immortality,Entity
go home,Entity
Lupus Minor,Entity
Razor,Entity
slimes,Entity
Traveler and Paimon,Entity
raw meat,Entity
Drunkard Gorge and Springvale,Entity
Amber and Traveler,Entity
Wolfhook seed,Entity
remain calm,Entity
injured wolf,Entity
black wolf,Entity
Wolfhook seeds,Entity
Springvale villagers,Entity
Boreas,Entity
outside wolf pack,Entity
spar,Entity
his identity,Entity
"Lupus Minor, Act I: The Meaning of Lupical",Entity
Razor's story quest,Entity
Adventure Rank 21,Entity
Prologue: Act III - Song of the Dragon and Freedom,Entity
"Lepus Chapter: Act I - Wind, Courage, and Wings",Entity
Wolvendom,Entity
wolf attacks,Entity
outside wolf pack attacks,Entity
Traveler to spar,Entity
Chapter II,Entity
The Immovable God and the Eternal Euthymia,Entity
Adventure Rank 30,Entity
Kazuha,Entity
the culprit's location and identity,Entity
Fei the Flyer,Entity
the culprit,Entity
Treasure Hoarder,Entity
the tournament,Entity
Rongshi,Entity
the Vision,Entity
the theft,Entity
Gods,Entity
Visions,Entity
Traveler to resonate with the Vision,Entity
Raiden Shogun,Entity
Kazuha's friend,Entity
in a duel against Raiden Shogun,Entity
the duel,Entity
pursuers,Entity
Beidou,Entity
Fei,Entity
champion of the tournament,Entity
Traveler about the journey to Inazuma,Entity
Alcor,Entity
resupply,Entity
Act I,Entity
"Stillness, the Sublimation of Shadow",Entity
Inagi Hotomi,Entity
demon possessing Domon,Entity
another form of demon has possessed him,Entity
Lady Yae has taken notice,Entity
Yae,Entity
Domon,Entity
Domon is not possessed,Entity
Vision,Entity
Domon immense aspirations,Entity
aspirations of his past deeds,Entity
Anzai,Entity
his aspirations were gone,Entity
pass aspirations to disciples,Entity
meaning behind Anzai's words,Entity
to pass aspirations,Entity
Traveler's arrival,Entity
high expectations for Traveler,Entity
return to Ayaka,Entity
Ayaka,Entity
reasoning for sending Traveler,Entity
to help,Entity
resistance's actions,Entity
Master Masakatsu,Entity
arrested,Entity
break Masakatsu out,Entity
the job,Entity
Tenryou Commission,Entity
Vision bearer,Entity
Yoimiya,Entity
samurai,Entity
fireworks,Entity
confiscation of Vision,Entity
Traveler and Paimon were sent by Ayaka,Entity
Traveler and Yoimiya,Entity
police station,Entity
Traveler to finish gift,Entity
Guards,Entity
Masakatsu,Entity
Kujou Sara,Entity
guards,Entity
guards to investigate,Entity
gift,Entity
Traveler and Yoimiya to leave,Entity
Yoimiya and Masakatsu,Entity
Thoma,Entity
Tenryou Commission has been tasked,Entity
relaxing,Entity
Group,Entity
hot pot game,Entity
Chapter,Entity
II,Entity
Omnipresence Over Mortals,Entity
30,Entity
Grus Nivis Chapter: Act I - The Whispers of the Crane and the White Rabbit,Entity
Carassius Auratus Chapter: Act I - Dreamlike Timelessness,Entity
Kamisato Ayaka,Entity
Grus Nivis Chapter,Entity
white heron hairpiece,Entity
Tsubaki,Entity
Kamisato Ayaka's Mother,Entity
Amakane Island,Entity
Merchants,Entity
Ayaka and Traveler,Entity
prayer panel,Entity
Inazuma where everyone lives happily,Entity
reunion with sibling,Entity
notebook,Entity
mother and Tsubaki are the same person,Entity
live every day without regrets,Entity
bring Traveler and Paimon to festival,Entity
Trio,Entity
stay open,Entity
reunite with sibling,Entity
dance,Entity
Carassius Auratus Chapter,Entity
the harsher facts of life like the Vision Hunt Decree,Entity
Yoimiya's family,Entity
their spectacular fireworks,Entity
Ryuunosuke,Entity
Yoimiya's father,Entity
Sakujirou,Entity
an old customer that smuggled himself into Inazuma,Entity
Kouichi,Entity
the boat,Entity
her customers happy,Entity
a place in Inazuma and some fireworks,Entity
coming to Inazuma,Entity
Imatani couple,Entity
Satoru,Entity
Tenryou,Entity
Yoimiya's house,Entity
Keisuke,Entity
Keisuke to a duel,Entity
Sakujirou to leave Inazuma,Entity
Sakujirou not to die early,Entity
Sakujirou if he returns,Entity
demotion,Entity
firework to Keisuke,Entity
firework,Entity
Keisuke lit the firework,Entity
Traveler a slip for the golden firework,Entity
Yoimiya and Ryuunosuke,Entity
a trip,Entity
Ryuunosuke to help run the store,Entity
to explore outside Inazuma,Entity
to watch Teyvat's greatest meteor shower,Entity
to bring Yoimiya to Sumeru,Entity
Rtawahist,Entity
locate the meteor shower,Entity
Traveler's offer,Entity
travels in Sumeru,Entity
Sumeru,Entity
Aranara carvings,Entity
how Aranara speak,Entity
Sumeru City,Entity
going into Akademiya without proper clothing,Entity
they don't know who to ask,Entity
Nahida,Entity
meteor showers are unpredictable,Entity
creating a meteor shower in a dream,Entity
Emberglow Leaf,Entity
Avin an Aranara carving,Entity
Avin's feelings,Entity
the meteor shower,Entity
"meteor shower will occur in Sumeru, in dreams",Entity
Traveler's sibling,Entity
meteor shower,Entity
Ahangar,Entity
lenses,Entity
Urstone,Entity
Farid,Entity
Niousha,Entity
Avin,Entity
hilichurls,Entity
Aranara friend,Entity
Arapurva,Entity
Aranara,Entity
Arashani,Entity
lens,Entity
meteor shower spot,Entity
Dreamlike Timelessness,Entity
Story Quest,Entity
Star-Pickers' Passage,Entity
Chapter II: Act I - The Immovable God and the Eternal Euthymia,Entity
Runaway Stowaway,Entity
Help Yoimiya and Sakujirou,Entity
Treasure Hoarders,Entity
Keisuke and Sakujirou,Entity
Yoshitaka,Entity
firework show,Entity
Traveler a slip for firework,Entity
Teppei,Entity
the Traveler,Entity
Watatsumi Island,Entity
Sangonomiya Kokomi,Entity
how she recently accepted an anonymous letter's offer,Entity
resources,Entity
captain of Swordfish II,Entity
a combat role,Entity
Swordfish II,Entity
investigate the mysterious disappearance of supplies,Entity
Bourou Village,Entity
captain of a newly formed special operations unit,Entity
the investigation at Fort Mumei,Entity
any leads,Entity
assistance,Entity
Tatarigami,Entity
Orobashi,Entity
Ei,Entity
Kokomi and General Gorou,Entity
the weapon as a vitality-absorbing Delusion,Entity
the Resistance's mysterious 'sponsor',Entity
the Fatui,Entity
Kokomi,Entity
that the Resistance be informed to stop using Delusions,Entity
Delusion manufacturing scheme,Entity
the Traveler and Paimon,Entity
that the Delusions are being produced with the Crystal Marrow,Entity
Nathan,Entity
a Fatui mole,Entity
The Balladeer,Entity
the 'weak',Entity
Yae Miko,Entity
that she has taken an interest in them,Entity
Miko,Entity
the Traveler through grueling training,Entity
Kujou Takayuki,Entity
Shogunate,Entity
Komore Teahouse,Entity
Kamisato Ayaka and Thoma,Entity
distraction,Entity
Sayu,Entity
Shogun,Entity
Kaedehara Kazuha,Entity
Musou no Hitotachi,Entity
Plane of Euthymia,Entity
Electro Gnosis,Entity
Ei's prototype puppet,Entity
Sixth Harbinger,Entity
Lesser Lord Kusanali,Entity
unspecified_decision,Entity
The Sages,Entity
Traveler's lack of Vision,Entity
lack of strong ambition,Entity
strong ambition,Entity
6,Entity
Act,Entity
Requiem of the Echoing Depths,Entity
Act IV,Entity
Through Mists of Smoke and Forests Dark,Entity
2.6,Entity
Chapter III,Entity
Dendro Archon,Entity
Cinnabar Cliff,Entity
Sumeru rainforest,Entity
Haypasia,Entity
scholar,Entity
cave,Entity
incense,Entity
Incense,Entity
fainting,Entity
tree,Entity
Gandharva Ville,Entity
Tighnari,Entity
Forest Ranger,Entity
Collei,Entity
Traveler and Paimon to accompany Collei,Entity
There were two,Entity
Greater Lord Rukkhadevata and Lesser Lord Kusanali,Entity
Greater Lord Rukkhadevata,Entity
cataclysm,Entity
Sanctuary of Surasthana,Entity
Eleazar,Entity
The Doctor,Entity
Eleven Fatui Harbingers,Entity
Collei's medication,Entity
Withering Zone,Entity
dangerous area,Entity
Withering,Entity
Irminsul,Entity
giant tree,Entity
Dusk Bird,Entity
Haypasia's cave,Entity
difficulty of connecting to Irminsul,Entity
Sage Khajehand,Entity
Traveler to meet Rohawi,Entity
Akasha Terminals,Entity
Dunyarzad,Entity
Sabzeruz Festival,Entity
Nilou,Entity
Dance of Sabzeruz,Entity
Padisarahs,Entity
Dehya,Entity
meeting Lesser Lord Kusanali,Entity
Akademiya convoy,Entity
Aaru Village,Entity
Stolen item,Entity
"Akasha, knowledge, and gods",Entity
Port Ormos,Entity
Ayn Al-Ahmar,Entity
King Deshret's revival,Entity
Alhaitham,Entity
Divine Knowledge Capsule,Entity
Mizri,Entity
Akasha Terminal,Entity
Matra,Entity
Mizri into custody,Entity
"""...World...Forget me...""",Entity
Alhaitham and Traveler,Entity
each other,Entity
Divine Knowledge Capsule from Mizri,Entity
Mizri's words in a vision,Entity
Mizri's state to researchers driven insane by Irminsul,Entity
Capsule grants neither divine knowledge nor power,Entity
Sumeru City for Sabzeruz Festival,Entity
dealing with Divine Knowledge Capsule or producing a report for the Sages,Entity
The Morn a Thousand Roses Brings,Entity
accommodations,Entity
Azar,Entity
laws,Entity
public art performances,Entity
Charcoal-Baked Ajilenakh Cake,Entity
a strange girl,Entity
the samsara,Entity
Akasha,Entity
Traveler's mind,Entity
massive brain,Entity
"Traveler, Paimon, and Dehya",Entity
Moon,Entity
new greatsword,Entity
theory about samsara,Entity
training dummy,Entity
they are not in the real world,Entity
leave the city,Entity
Traveler already tried to leave city twice,Entity
two days have passed,Entity
city,Entity
Traveler's disappearance,Entity
wisdom from dreams,Entity
Sages,Entity
rhetoric about dreams,Entity
Samsara,Entity
consciousnesses into dream,Entity
Nahida's identity,Entity
Dunyarzad's consciousness,Entity
,Entity
voice that inspired Dunyarzad,Entity
Vihar is not the host,Entity
Dehya against Eremites,Entity
Dunyarzad's forgotten item,Entity
Dunyarzad's diary,Entity
research on Lesser Lord Kusanali,Entity
Azar and Setaria,Entity
Azar and Setaria are puppets,Entity
Nilou is dream host,Entity
Dunyarzad's spirit,Entity
with intact mind,Entity
finding Dunyarzad's consciousness,Entity
Dunyarzad's dream,Entity
samsara,Entity
to investigate the sages,Entity
large event,Entity
to her senses,Entity
"Dreams, Emptiness, Deception",Entity
Act III,Entity
King Deshret and the Three Magi,Entity
Adventure Rank 35,Entity
Nahida's body,Entity
Scaramouche's ascension,Entity
The Eremites,Entity
Cyno,Entity
Sandstorm,Entity
Candace,Entity
the group,Entity
Traveler & Dehya,Entity
riftwolves,Entity
Village Keepers,Entity
Traveler & Cyno,Entity
Isak,Entity
Sharkan and Makan,Entity
King Deshret's resurrection,Entity
his grandpa's house,Entity
Caravan Ribat,Entity
Wall of Samiel,Entity
Zaki,Entity
Delavar,Entity
Dehya and Traveler,Entity
Delavar and Engur,Entity
radicals,Entity
Radicals,Entity
masked man,Entity
Masked man,Entity
King Deshret's envoy,Entity
Uncle Anpu,Entity
Akademiya,Entity
Shani lied,Entity
Shani,Entity
screaming,Entity
monsters,Entity
entrance to Dar al-Shifa,Entity
Razak,Entity
mole,Entity
computation,Entity
being followed,Entity
perpetrators,Entity
desert,Entity
Rahman,Entity
Dehya's reasoning,Entity
hostage,Entity
her right arm,Entity
chop Dehya's arm off,Entity
cutting her arm off,Entity
group to leave,Entity
a fight,Entity
group,Entity
Rahman's group,Entity
one-on-one exchange,Entity
Rahman's men,Entity
Isak's grandpa,Entity
mysterious ruins,Entity
ruins,Entity
King Deshret,Entity
Dendro Archon's power,Entity
runes,Entity
transcript,Entity
Kasala,Entity
forbidden knowledge,Entity
give people life,Entity
prevent knowledge's return,Entity
Rukkhadevata,Entity
small child,Entity
Morghi and Judar,Entity
seeing Alhaitham and Cyno,Entity
sages,Entity
new god,Entity
scientific breakthroughs,Entity
rare and declining,Entity
Il Dottore,Entity
create new god,Entity
dream samsara and harvesting Divine Canned Knowledge,Entity
process to create new god,Entity
everyone,Entity
sages' actions unacceptable,Entity
crush the sages and rescue their true god,Entity
"Akasha Pulses, the Kalpa Flame Rises",Entity
Traveler and Paimon that everyone is waiting,Entity
"Cyno, Dehya, Traveler, and Paimon",Entity
Alhaitham's plan,Entity
Jnagarbha Day,Entity
mercenaries,Entity
Alhaitham about Irminsul,Entity
Rahman's base,Entity
Morghi and Judar working at Rahman's base,Entity
Traveler and Paimon to Cyno,Entity
Alhaitham for advice,Entity
guards at the outpost,Entity
guards about the arrest,Entity
guards at Caravan Ribat should be unaware that Cyno had stepped down,Entity
Luxembarbo,Entity
Traveler and Paimon as his assistant and their construct,Entity
an elite platoon,Entity
Rahman and his men,Entity
"Cyno, Traveler, Paimon, Luxembarbo, and his men",Entity
"Traveler, Paimon",Entity
"Traveler, Paimon, Dehya, Cyno",Entity
Dottore,Entity
"Traveler, Paimon, Dehya, Cyno, Tighnari",Entity
Fatui,Entity
Scaramouche,Entity
humanity,Entity
lightning storm,Entity
lightning,Entity
"Traveler, Paimon, Alhaitham",Entity
Azar's office,Entity
Nahida's consciousness,Entity
self-doubt,Entity
Zubayr,Entity
possibility,Entity
action,Entity
Eremites,Entity
Dehya and Eremites,Entity
Uday,Entity
access,Entity
upgraded Akasha,Entity
false god's location,Entity
facility,Entity
god,Entity
infuse Divine Knowledge Capsules,Entity
arm,Entity
knowledge,Entity
Nahida and Traveler,Entity
Rukkhadevata's memory,Entity
Corroded consciousness,Entity
place,Entity
dreaming,Entity
Nahida and Paimon,Entity
null,Entity
sound wave,Entity
Sound wave,Entity
negotiate,Entity
Celestia,Entity
threat,Entity
segments,Entity
Dendro Gnosis,Entity
information,Entity
"Traveler, Paimon, and Collei",Entity
breakfast,Entity
letter,Entity
General Mahamatra,Entity
invitation,Entity
Azar and other sages,Entity
wisdom,Entity
"Alhaitham, Dehya, Dunyarzad, Rahman, and Cyno",Entity
Kaveh,Entity
Grand Sage,Entity
bodyguard,Entity
Setaria,Entity
supplies,Entity
Grand Bazaar,Entity
Sanctuary,Entity
questions,Entity
"Traveler as Teyvat's fourth ""Descender""",Entity
Fatui classification of Traveler,Entity
"Heavenly Principles as first ""Descender""",Entity
"identity of other two ""Descenders""",Entity
help Traveler with inquiries,Entity
Traveler's dreams,Entity
5 Achievements,Entity
Caribert,Entity
Act VI,Entity
Prelude of Blancheur and Noirceur,Entity
Eide,Entity
Chlothar Alberich,Entity
Eide's son,Entity
Khaenri'ah,Entity
Hilichurl,Entity
Strange being,Entity
Abyss,Entity
Power of the Abyss,Entity
Chlothar,Entity
sinner,Entity
4 achievements,Entity
Chapter IV,Entity
As Light Rain Falls Without Reason,Entity
Adventure Rank 40,Entity
Hydro Archon,Entity
absolve people of Fontaine's sin,Entity
Fontaine's water levels,Entity
rise and drown people,Entity
Magic Pockets,Entity
people to transport belongings,Entity
Lyney,Entity
people to be prepared,Entity
"Traveler, twins",Entity
catch a thief,Entity
himself,Entity
Charlotte,Entity
"recent events, including disappearing young women",Entity
Freminet,Entity
everyone went out,Entity
Sky,Entity
rain breaks loose,Entity
Hydro Dragon,Entity
rain when it weeps (according to story),Entity
Freminet to take supplies to workshop,Entity
take supplies to workshop,Entity
Estelle,Entity
machine runs on Indemnitium,Entity
Truand and lackeys,Entity
group of their debt,Entity
Truand and his lackeys,Entity
Hydro weapons,Entity
Truand,Entity
Delusion,Entity
Champion Duelists,Entity
Vision to Traveler for safekeeping,Entity
Opera House,Entity
Neuvillette,Entity
Lyney's show,Entity
Cowell,Entity
magic box,Entity
Audience member,Entity
Lyney's attorney,Entity
Furina,Entity
prosecutor,Entity
Lyney and Lynette,Entity
House of the Hearth,Entity
"Navia, Silver, and Melus",Entity
Spina di Rosula,Entity
serial disappearances,Entity
Oratrice's core,Entity
smashed vase and scattered clothes,Entity
Cowell's belongings,Entity
water from Primordial Sea,Entity
organization selling illegal drugs,Entity
Traveler to continue hypothesis,Entity
Vaughn,Entity
false evidence,Entity
Liliane,Entity
crime,Entity
thief,Entity
Not Guilty verdict,Entity
Vaughn's complicity,Entity
water,Entity
their backstory,Entity
noble,Entity
Knave/Arlecchino,Entity
Lynette and others,Entity
prophecy,Entity
Hydro Gnosis to Snezhnaya,Entity
farewell meal,Entity
Act II,Entity
To the Stars Shining in the Depths,Entity
Callas,Entity
Navia,Entity
Clorinde,Entity
Vacher,Entity
disappearance case,Entity
case file archives,Entity
rainy day,Entity
Jacques,Entity
rainy night,Entity
Primordial Seawater,Entity
Sinthe,Entity
illness,Entity
Florent,Entity
Callas' murder,Entity
Thierry,Entity
Marcel,Entity
organization,Entity
Jacques' wife,Entity
Jacques was forced to kill Callas,Entity
Marcel is likely suspect,Entity
enemy headquarters,Entity
evidence,Entity
Vacher conducted experiments,Entity
Oratrice Mecanique d'Analyse Cardinale,Entity
Guilty verdict,Entity
Tartaglia is innocent,Entity
Guilty verdict on Tartaglia,Entity
Tartaglia,Entity
escape,Entity
Gardemeks,Entity
investigate the matter,Entity
court rules,Entity
auditorium,Entity
Garde Esmond,Entity
go to the fountain,Entity
Marcel's request,Entity
Vigneire's voice,Entity
dream realm,Entity
Marcel's dream,Entity
Oceanid,Entity
collective consciousnesses of the women Marcel dissolved,Entity
Marcel's crimes,Entity
Vigneire,Entity
Doctors,Entity
Marcel's death as a panic attack,Entity
shopping,Entity
memorial for her father,Entity
father's grave,Entity
reason for duel,Entity
humans prioritize lives over justice,Entity
Neuvillette wrong,Entity
Neuvillette questions,Entity
foreseen possibility of different verdict,Entity
investigate Childe,Entity
Cataclysm's Quickening,Entity
Childe's time in prison,Entity
the rules,Entity
the prison facilities,Entity
Working for three days straight,Entity
being served mystery meat,Entity
Betting on two fighters in a match,Entity
not allowed,Entity
a rest,Entity
Vidoc,Entity
the pipes late at night,Entity
Cannibals,Entity
victims,Entity
other forms,Entity
Vidoc missing,Entity
Fielding,Entity
strange sounds at night,Entity
rumors of strange sounds,Entity
Strange sounds,Entity
pipe-cleaning days,Entity
the pipes to escape,Entity
three people,Entity
Hidden rules,Entity
farce to protect Childe,Entity
he had to leave,Entity
the pipes,Entity
Entrance to where Childe left,Entity
flooded,Entity
Lyney ask Freminet for help,Entity
puzzled by Childe's behavior,Entity
Masquerade of the Guilty,Entity
40,Entity
Wriothesley,Entity
the children are Fatui operatives,Entity
to investigate the forbidden zone,Entity
the Traveler and Paimon to the forbidden zone,Entity
Primordial Sea,Entity
Fontaine,Entity
a ship,Entity
the sluice gate,Entity
Arlecchino,Entity
use of Indemnitium,Entity
Neuvillette's absence,Entity
perspective on Furina,Entity
take Gnosis,Entity
Furina's lack of Gnosis,Entity
curse on Furina,Entity
thought of Neuvillette as Hydro Archon,Entity
opportunity to pressure Furina,Entity
Neuvillette is not Hydro Archon,Entity
cooperation with Traveler,Entity
mourning recent events,Entity
rain,Entity
Hydro Sovereign,Entity
identity as Hydro Sovereign,Entity
dragons' past,Entity
inability to stop prophecy,Entity
Arlecchino's children,Entity
Neuvillette about his actions,Entity
Freminet's words,Entity
Neuvillette's true identity,Entity
prison status,Entity
prison inhabitants,Entity
mission for Neuvillette,Entity
cat,Entity
assassination attempt,Entity
mercy,Entity
glance at Traveler,Entity
distracts Neuvillette,Entity
fortress,Entity
narwhal,Entity
Traveler to leave,Entity
Traveler to return,Entity
Arlecchino's attack,Entity
Neuvillette back to senses,Entity
Act V,Entity
Bedtime Story,Entity
Egeria,Entity
Fleuve Cendre,Entity
Mona,Entity
Astromancer Barbeloth Trismegistus,Entity
The Steambird,Entity
list of victims,Entity
"Navia, Lyney, Lynette, Freminet, Clorinde",Entity
"Mage ""N""",Entity
Paimon and Traveler,Entity
Hotel Debord,Entity
Sedene,Entity
Isadora,Entity
riot,Entity
Marechaussee Phantom,Entity
fraud,Entity
Furina guilty,Entity
Hydro Archon guilty,Entity
Oceanids,Entity
humans,Entity
appropriating power,Entity
Narwhal-like entity,Entity
rift,Entity
Neuvillette and Childe,Entity
narwhal-like entity,Entity
rising water levels,Entity
Focalors,Entity
Neuvillette and Traveler,Entity
transformed human,Entity
her divinity,Entity
die,Entity
role in the opera,Entity
Gnosis,Entity
sins of Fontainians,Entity
Traveler and Neuvillette,Entity
All-Devouring Narwhal,Entity
Skirk,Entity
Narwhal into an orb,Entity
Childe's master,Entity
Prophecy,Entity
full swing,Entity
Fontainians,Entity
unaffected by Primordial Sea,Entity
Fatui and Clorinde,Entity
rebuilding of Poisson,Entity
Jurieu and Lourvine,Entity
Father,Entity
Hydro Gnosis,Entity
Snezhnaya,Entity
Harbinger,Entity
Fontainians as true humans,Entity
role as Hydro Archon,Entity
remains of third Descender,Entity
did not know,Entity
ask her master,Entity
reasoning,Entity
fourth Descender,Entity
Gnoses,Entity
gods' will,Entity
Natlan,Entity
endless war,Entity
human and dragons coexist,Entity
Knave,Entity
Il Capitano has thrown his hat,Entity
Il Capitano,Entity
ring of war,Entity
prepare,Entity
3 Achievements,Entity
Commission,Entity
missing person,Entity
Missing person,Entity
Vimara Village,Entity
Bahram,Entity
Amadhiah,Entity
Atossa,Entity
family,Entity
Pyro Abyss Mage,Entity
"Traveler, Paimon, Atossa",Entity
Vedrfolnir,Entity
The Visionary,Entity
Five Sinners of Khaenri'ah,Entity
"Vedrfolnir, Rhinedottir, Surtalogi, Rerir, Hroptatyr",Entity
Loom of Fate,Entity
first Field Tiller's eye,Entity
"Traveler, Paimon, Dainsleif",Entity
Traveler's Sibling,Entity
flaws in Caribert's memory,Entity
Atossa with Caribert,Entity
Traveler to follow him,Entity
to leave and help Dainsleif,Entity
Loom of Fate is complete,Entity
intangibility and motives,Entity
Caribert's memory,Entity
to collapse,Entity
Villagers,Entity
Traveler sleeping,Entity
"picture of themself, sibling, and Caribert",Entity
Flowers Resplendent on the Sun-Scorched Sojourn,Entity
V,Entity
Black Stone Under a White Stone,Entity
"Reach Adventure Rank 28
Complete Archon Quest Chapter I: Act III - A New Star Approaches",Entity
Pilgrimage,Entity
allowed,Entity
Kachina,Entity
Kinich,Entity
Paimon's former team,Entity
Flags,Entity
six tribes of Natlan,Entity
Scions of the Canopy,Entity
Yumkasaurus,Entity
Mualani,Entity
People of the Springs,Entity
Cival,Entity
Traveler's registration,Entity
Contending Fire,Entity
Sacred Flame,Entity
Ancient Names,Entity
Ode of Resurrection,Entity
teamwork,Entity
Wayob,Entity
Pyro Archon,Entity
food and lodging,Entity
Weary Inn,Entity
Night Warden Wars,Entity
spectators,Entity
Teams,Entity
hot air balloons,Entity
Contending Sparks,Entity
Kachina and Mualani,Entity
competition,Entity
Tepexpan and Tamuin,Entity
Nkunga,Entity
Liliuo,Entity
elimination round,Entity
same idea,Entity
"Mualani, Traveler, Kinich",Entity
Mualani's village,Entity
Atea,Entity
Outsiders,Entity
artificial springs,Entity
hot springs,Entity
Amina and guards,Entity
party,Entity
abandoned hot spring,Entity
cries,Entity
village,Entity
Mualani and Traveler,Entity
pylon,Entity
severe injuries,Entity
Atea's wounds,Entity
impending death,Entity
talisman,Entity
Quick Start,Entity
Version 2.6,Entity
certain prerequisite Quests,Entity
limited time,Entity
certain Quests,Entity
Version 5.0,Entity
many Events,Entity
Version 4.0,Entity
Using Quick Start,Entity
player's experience,Entity
